date,bitcoin,bitcoin_cash,ethereum,litecoin,ripple
7/2/2016,386.362,659.325,2.506,3.08656,0.00751317
27/4/2015,233.853,296.899,,1.40995,0.00798186
26/8/2016,575.628,425.044,11.2644,3.80504,0.00606395
5/2/2014,846.28,,,21.3619,0.0182854
8/4/2014,584.442,,,13.7051,0.0105044
22/10/2015,265.758,542.108,0.480749,3.10596,0.00475991
16/4/2016,425.977,498.713,8.4969,3.2664,0.00641689
26/10/2015,277.908,538.497,0.545888,3.12536,0.00463412
11/10/2014,358.614,340.816,,3.8003,0.00472363
24/9/2017,3774.0,367.251,282.775,48.4845,0.177258
30/9/2013,128.62,,,2.63197,0.00642623
25/11/2015,323.655,630.328,0.9408,3.1155,0.00428816
16/2/2016,410.381,602.164,5.88699,3.20807,0.00861377
18/10/2016,639.619,446.015,11.9046,3.90897,0.00803541
15/8/2017,4177.9,323.879,287.568,42.6302,0.156115
20/4/2014,453.189,,,9.75873,0.00726467
18/12/2016,790.224,402.343,7.57623,3.69417,0.00654466
11/3/2017,1241.08,320.081,18.2338,3.76863,0.00620461
14/9/2013,121.68,,,2.59768,0.00641998
23/9/2015,227.719,592.036,0.90469,2.81637,0.00727336
11/5/2016,460.31,381.03,9.35714,3.88218,0.0063685
28/11/2015,346.825,626.977,0.877679,3.60897,0.00427467
17/11/2016,714.779,420.445,10.1709,4.02633,0.00785453
31/7/2013,97.301,,,3.09778,
15/2/2017,1001.77,340.277,12.5997,3.76954,0.00627418
29/6/2013,102.769,,,2.0696,
16/11/2016,709.822,424.128,10.213,3.89734,0.00788306
22/8/2015,231.601,633.872,1.42324,3.60033,0.00779819
5/1/2017,1100.52,359.86,10.8366,4.8245,0.00650306
21/4/2017,1218.04,318.156,48.8684,10.2827,0.0307289
25/8/2013,103.692,,,2.63477,0.00448605
9/4/2017,1184.6,317.16,45.1659,9.90093,0.0340712
29/7/2013,95.58,,,2.95499,
1/1/2016,427.452,529.058,0.957337,3.45872,0.00617359
27/3/2017,993.619,314.97,49.6259,4.08648,0.00958623
